# File ORIGINALLY generated by...,,,,,,,,,
# program:      StateModGUI 07.03.01 (2009-06-19),,,,,,,,,
# user:         sam,,,,,,,,,
# date:         Wed Dec 22 18:50:32 MST 2010,,,,,,,,,
# host:         AMAZON,,,,,,,,,
# directory:    C:\CDSS\data\cm2009\statemod,,,,,,,,,
# command line: StateModGUI -home,,,,,,,,,
#            C:\Develop\StateModGUI_SourceBuild/StateModGUI/test/operational/CDSS,,,,,,,,,
#,,,,,,,,,
# ris ORIGINALLY had 133 out of 213 locations with missing spatial data.,,,,,,,,,
#
# Coordinates provided in updated file by Carolyn Fritz, CWCB, 2010-12-29, as "x-gui-MissingSpatial-ris.csv"
# File cleaned up by Steve Malers
#,,,,,,,,,
# Specify X and Y in projected coordinates to match other layer data.,,,,,,,,,
#,,,,,,,,,
"ID","Name","Long","Lat","X","Y","Note"
953801,COTT_COTTONWOOD AGG RSVR,,,,,GUI Detected no coordinates
954001,GRAND JCT MUNIC IMPORT,,,,,GUI Detected no coordinates
954683,CON HOOSIER SUMMARY NODE,,,,,GUI Detected no coordinates
954699,BOUSTEAD SUMMARY,,,,,GUI Detected no coordinates
955003,VAIL VALLEY WATER-NONIRR,,,,,GUI Detected no coordinates
9032499,MEADOW CREEK RSVR INFLOW,,,,,GUI Detected no coordinates
9152500,GUNNISON RIVER NEAR GRAN,-107.55,38.98333,,,GUI Detected no coordinates
36_ADC017,UPPER BLUE RIVER,,,,,GUI Detected no coordinates
372028_Dwn,,,,,,GUI Detected no coordinates
50_ADC013,UPPER MUDDY CK,,,,,GUI Detected no coordinates
51_ADC006,FRASER R AT GRANBY,,,,,GUI Detected no coordinates
53_ADC022,UPPER EGERIA CK,,,,,GUI Detected no coordinates
70_ADC049,UPPER ROAN CREEK,,,,,GUI Detected no coordinates
72_ADC054,UPPER BUZZARD CREEK,,,,,GUI Detected no coordinates
72_ADC065,COLORADO RIVER NR STATE,,,,,GUI Detected no coordinates
BaseFlow,W&M_BaseFlow,,,,,GUI Detected no coordinates
